Severity,Document Key,Operation,Message,Details,Documentation 
"","","","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","",""
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-9.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-9.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-8.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-8.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-7.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-7.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-6.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-6.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-5.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-5.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-4.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-4.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-3.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-3.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-2.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-2.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
"warning","localId=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-1.docx&documentKey=https%3a%2f%2farmazenronaldo.blob.core.windows.net%2fcoffeereviews%2freview-1.docx","Projection.KnowledgeStore.Table.coffeeSkillsetEntities","Could not generate projection from input '/document/tableprojection/pages/*/Entities/*'. Check the 'source' or 'sourceContext' property of your projection in your skillset. =$(/document/tableprojection/pages/*/Entities/*)","Missing or empty value '/document/tableprojection/pages/0/Entities/0'.","https://go.microsoft.com/fwlink/?linkid=2099697"
